RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,TCS.NS,HINDUNILVR.NS,ITC.NS,LT.NS,KOTAKBANK.NS,AXISBANK.NS,SBIN.NS,BHARTIARTL.NS,BAJFINANCE.NS,ASIANPAINT.NS,MARUTI.NS,M&M.NS,TITAN.NS,NTPC.NS,TATAMOTORS.NS,ULTRACEMCO.NS,SUNPHARMA.NS,NESTLEIND.NS,POWERGRID.NS,TATASTEEL.NS,ONGC.NS,ADANIENT.NS,JSWSTEEL.NS,BAJAJFINSV.NS,HCLTECH.NS,WIPRO.NS,ADANIPORTS.NS,INDUSINDBK.NS,GRASIM.NS,BRITANNIA.NS,CIPLA.NS,DRREDDY.NS,BPCL.NS,TECHM.NS,EICHERMOT.NS,HINDALCO.NS,TATACONSUM.NS,COALINDIA.NS,SBILIFE.NS,HDFCLIFE.NS,DIVISLAB.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,APOLLOHOSP.NS,SHRIRAMFIN.NS,LTIM.NS
1426.625,1462.550048828125,1028.1500244140625,1660.9000244140625,3815.949951171875,2481.550048828125,441.54998779296875,3479.75,1825.25,1067.75,640.5,1170.699951171875,6862.89990234375,2957.85009765625,10186.900390625,1651.550048828125,3697.550048828125,317.5,884.2000122070312,10167.349609375,1418.449951171875,2506.0,259.29998779296875,135.9499969482422,252.25,3142.0,818.6500244140625,1627.300048828125,1576.0,478.1499938964844,1207.6500244140625,1534.050048828125,2175.0,5198.39990234375,1351.0,1224.22998046875,251.1750030517578,1333.6500244140625,3839.60009765625,579.3499755859375,1118.0,406.1499938964844,1401.1500244140625,576.5999755859375,3670.60009765625,4621.5498046875,7667.5498046875,6352.9501953125,2466.800048828125,5448.5498046875
1460.800048828125,1403.4000244140625,1052.199951171875,1673.9000244140625,4095.10009765625,2412.300048828125,406.29998779296875,3477.550048828125,1689.449951171875,1075.0999755859375,748.0999755859375,1123.3499755859375,6495.35009765625,2821.89990234375,11288.349609375,1932.4000244140625,3624.39990234375,335.6000061035156,950.2000122070312,9892.400390625,1577.949951171875,2596.199951171875,282.8500061035156,140.85000610351562,264.6000061035156,3285.39990234375,800.0999755859375,1593.800048828125,1663.8499755859375,518.5999755859375,1320.5,1474.9000244140625,2191.39990234375,4965.2001953125,1480.3499755859375,1284.8499755859375,301.92498779296875,1273.8499755859375,3792.39990234375,503.8500061035156,1190.050048828125,436.70001220703125,1552.550048828125,582.0,3488.800048828125,4426.5,7909.35009765625,6101.60009765625,2438.60009765625,5300.85009765625
1485.8499755859375,1447.9000244140625,1093.300048828125,1498.050048828125,3876.300048828125,2264.35009765625,428.3500061035156,3763.89990234375,1785.5,1047.199951171875,752.3499755859375,1228.5999755859375,7245.25,2846.75,12600.349609375,1921.3499755859375,3801.800048828125,335.79998779296875,992.7999877929688,9749.150390625,1620.550048828125,2622.35009765625,276.8999938964844,155.85000610351562,268.04998779296875,3197.10009765625,830.2000122070312,1643.8499755859375,1543.550048828125,480.1000061035156,1341.8499755859375,1553.0,2287.300048828125,4911.25,1496.949951171875,1231.5799560546875,301.20001220703125,1248.0999755859375,4019.300048828125,560.25,1096.199951171875,434.1000061035156,1500.25,633.3499755859375,3445.300048828125,4722.2998046875,9148.150390625,6356.7998046875,2359.800048828125,4938.39990234375
1467.0,1520.0999755859375,1150.4000244140625,1420.550048828125,3820.64990234375,2230.449951171875,435.6499938964844,3594.300048828125,1623.949951171875,1165.9000244140625,826.25,1322.300048828125,6923.5498046875,2875.89990234375,12817.5,2156.35009765625,3589.25,363.20001220703125,1007.9000244140625,9971.849609375,1502.0999755859375,2507.39990234375,301.8500061035156,165.0,282.8500061035156,3054.699951171875,882.2000122070312,1615.0,1366.5999755859375,462.3999938964844,1324.9000244140625,1515.699951171875,2411.64990234375,4775.9501953125,1400.0,1240.8599853515625,303.67498779296875,1263.5,4597.39990234375,644.4000244140625,1108.3499755859375,454.29998779296875,1436.550048828125,583.6500244140625,4002.39990234375,4543.0498046875,8903.650390625,5947.10009765625,2551.699951171875,4706.39990234375
1430.4000244140625,1531.550048828125,1121.050048828125,1406.9000244140625,3670.949951171875,2329.050048828125,426.45001220703125,3669.300048828125,1680.4000244140625,1162.1500244140625,830.3499755859375,1372.75,6697.7001953125,2881.199951171875,12399.2998046875,2506.25,3241.89990234375,359.0,923.0,9915.5,1459.800048828125,2354.89990234375,310.0,167.1999969482422,264.3500061035156,3411.35009765625,880.5499877929688,1528.5999755859375,1324.0999755859375,438.20001220703125,1437.4000244140625,1461.8499755859375,2316.25,5179.7998046875,1447.199951171875,1158.3699951171875,313.8999938964844,1228.449951171875,4733.4501953125,689.3499755859375,1060.25,491.20001220703125,1386.4000244140625,549.8499755859375,4307.2001953125,5119.60009765625,9084.75,5839.2001953125,2354.050048828125,4701.89990234375
1565.4000244140625,1683.800048828125,1199.5999755859375,1566.75,3904.14990234375,2473.050048828125,424.8999938964844,3548.449951171875,1802.5,1265.25,848.9500122070312,1444.050048828125,7115.5498046875,2917.050048828125,12033.849609375,2866.64990234375,3404.199951171875,378.3500061035156,989.75,11667.900390625,1520.8499755859375,2551.64990234375,330.95001220703125,174.00999450683594,274.20001220703125,3177.14990234375,931.5,1588.1500244140625,1459.5999755859375,514.8499755859375,1478.0999755859375,1464.5,2670.449951171875,5475.5498046875,1480.800048828125,1280.469970703125,303.95001220703125,1430.3499755859375,4672.9501953125,693.5499877929688,1097.449951171875,473.1499938964844,1491.949951171875,595.0499877929688,4596.4501953125,5579.60009765625,9501.650390625,6185.7001953125,2911.5,5385.0498046875
1505.425048828125,1615.75,1214.9000244140625,1868.25,4385.35009765625,2705.64990234375,495.3500061035156,3815.0,1807.9000244140625,1166.0999755859375,872.4000244140625,1491.550048828125,6806.9501953125,3084.449951171875,13115.7998046875,2907.800048828125,3458.949951171875,416.0,1156.6500244140625,11887.2001953125,1719.3499755859375,2456.35009765625,348.20001220703125,165.3300018310547,334.20001220703125,3169.39990234375,928.25,1651.6500244140625,1642.5999755859375,522.0,1569.9000244140625,1427.800048828125,2776.75,5784.4501953125,1544.300048828125,1350.0999755859375,350.04998779296875,1554.4000244140625,4962.7001953125,669.5999755859375,1188.949951171875,522.2000122070312,1753.6500244140625,715.5,4923.2001953125,5488.4501953125,9664.2001953125,6615.2998046875,2931.949951171875,5658.14990234375
1509.625,1636.9000244140625,1229.199951171875,1943.699951171875,4553.75,2778.0,501.8999938964844,3704.64990234375,1780.800048828125,1175.25,815.5999755859375,1589.050048828125,7200.14990234375,3126.800048828125,12403.0,2805.39990234375,3565.14990234375,416.20001220703125,1111.3499755859375,11301.900390625,1821.6500244140625,2500.75,337.3999938964844,152.75999450683594,330.75,3019.35009765625,941.0999755859375,1783.050048828125,1753.25,538.4000244140625,1481.9000244140625,1425.25,2698.85009765625,5855.25,1654.9000244140625,1406.27001953125,357.6499938964844,1636.5,4960.5,701.3499755859375,1200.1500244140625,524.9500122070312,1850.300048828125,738.7000122070312,5093.89990234375,5455.39990234375,10891.5498046875,6927.5,3204.5,6156.0498046875
1476.574951171875,1732.050048828125,1273.0,1875.5999755859375,4268.5,2958.300048828125,518.1500244140625,3675.550048828125,1853.949951171875,1232.199951171875,787.9000244140625,1709.550048828125,7703.0,3329.10009765625,13238.0,3094.89990234375,3823.949951171875,443.20001220703125,974.6500244140625,11802.0,1926.699951171875,2689.949951171875,352.8500061035156,168.5500030517578,297.6000061035156,3135.85009765625,1030.050048828125,1973.4000244140625,1796.0999755859375,541.4500122070312,1448.199951171875,1447.5999755859375,2795.550048828125,6338.14990234375,1654.0999755859375,1350.3199462890625,369.95001220703125,1577.199951171875,5026.25,756.2000122070312,1196.949951171875,510.1499938964844,1844.0,718.0,5443.35009765625,5712.39990234375,12345.9501953125,7199.14990234375,3576.949951171875,6244.35009765625
1332.050048828125,1735.699951171875,1292.25,1757.25,3968.449951171875,2528.25,488.79998779296875,3622.300048828125,1731.0999755859375,1159.550048828125,820.2000122070312,1612.5999755859375,6889.75,2935.64990234375,11076.4501953125,2728.550048828125,3267.050048828125,408.1499938964844,834.0499877929688,11065.650390625,1848.9000244140625,2262.949951171875,320.79998779296875,148.55999755859375,266.1499938964844,2947.25,963.6500244140625,1750.75,1766.050048828125,551.7999877929688,1375.949951171875,1055.5999755859375,2695.85009765625,5726.89990234375,1551.75,1274.199951171875,310.75,1608.6500244140625,4894.64990234375,686.0499877929688,1002.5499877929688,452.04998779296875,1622.1500244140625,720.1500244140625,5889.64990234375,4989.5498046875,9836.2998046875,7022.7001953125,3138.89990234375,5710.85009765625
1260.75,1705.0999755859375,1256.949951171875,1811.449951171875,4019.5,2422.89990234375,466.54998779296875,3542.14990234375,1707.9000244140625,1126.199951171875,814.2999877929688,1550.5,6549.14990234375,2483.14990234375,11006.0498046875,2807.199951171875,3172.300048828125,366.70001220703125,771.9000244140625,10728.5,1768.199951171875,2213.199951171875,312.04998779296875,141.2100067138672,250.64999389648438,2826.800048828125,949.8499755859375,1639.800048828125,1835.0,552.8499755859375,1279.300048828125,1004.5999755859375,2523.949951171875,4911.35009765625,1465.25,1226.699951171875,289.20001220703125,1687.5,4883.7001953125,651.0499877929688,925.0,413.3500061035156,1562.300048828125,690.5,5766.64990234375,4733.0,9482.9501953125,6860.64990234375,2822.60009765625,5841.5
